"","aor","capacity","fy","space"
"1","ATL",3784,2018,329.63
"2","ATL",3784,2017,590.76
"3","ATL",3784,2016,1693.68
"4","ATL",3784,2015,2013.57
"5","ATL",3784,2014,1687.33
"6","ATL",3784,2013,1805.97
"7","ATL",3784,2012,1660.74
"8","ATL",3784,2011,1705.98
"9","ATL",3784,2010,1947
"10","ATL",3784,2009,1844
"11","BOS",210,2018,139.14
"12","BOS",210,2017,135.21
"13","BOS",210,2016,138.48
"14","BOS",210,2015,143.23
"15","BOS",210,2014,132.39
"16","BOS",210,2013,125.6
"17","BOS",210,2012,142
"18","BOS",210,2011,161.33
"19","BOS",210,2010,126
"20","BOS",210,2009,47
"21","BUF",696,2018,92.9300000000001
"22","BUF",696,2017,80.1799999999999
"23","BUF",696,2016,108.33
"24","BUF",696,2015,260.09
"25","BUF",696,2014,180.68
"26","BUF",696,2013,274.09
"27","BUF",696,2012,228.72
"28","BUF",696,2011,122.19
"29","BUF",696,2010,167
"30","BUF",696,2009,172
"31","CHI",950,2018,237.34
"32","CHI",950,2017,188.99
"33","CHI",950,2016,230.51
"34","CHI",950,2015,368.76
"35","CHI",950,2014,245.46
"36","CHI",950,2013,261.1
"37","CHI",950,2012,152.42
"38","CHI",950,2011,109.51
"39","CHI",950,2010,325
"40","CHI",950,2009,284
"41","DAL",707,2018,111.8
"42","DAL",707,2017,380.98
"43","DAL",707,2016,707
"44","DAL",707,2015,707
"45","DAL",707,2014,707
"46","DAL",707,2013,707
"47","DAL",707,2012,707
"48","DAL",707,2011,707
"49","DAL",707,2010,707
"50","DAL",707,2009,707
"51","DEN",848,2018,204.2
"52","DEN",848,2017,127.88
"53","DEN",848,2016,370.89
"54","DEN",848,2015,453.16
"55","DEN",848,2014,430.56
"56","DEN",848,2013,436.25
"57","DEN",848,2012,447.83
"58","DEN",848,2011,433.4
"59","DEN",848,2010,434
"60","DEN",848,2009,470
"61","DET",507,2018,-16.9399999999999
"62","DET",507,2017,118.4
"63","DET",507,2016,321.19
"64","DET",507,2015,387.57
"65","DET",507,2014,351.71
"66","DET",507,2013,356.22
"67","DET",507,2012,305.79
"68","DET",507,2011,341.24
"69","DET",507,2010,337
"70","DET",507,2009,317
"71","ELP",3090,2018,764.56
"72","ELP",3090,2017,786.28
"73","ELP",3090,2016,930.46
"74","ELP",3090,2015,1356.38
"75","ELP",3090,2014,1307.89
"76","ELP",3090,2013,1337.52
"77","ELP",3090,2012,1720.43
"78","ELP",3090,2011,1418.96
"79","ELP",3090,2010,1401
"80","ELP",3090,2009,1372
"81","HOU",3804,2018,1716.57
"82","HOU",3804,2017,1290.08
"83","HOU",3804,2016,1431.27
"84","HOU",3804,2015,1939.67
"85","HOU",3804,2014,697.06
"86","HOU",3804,2013,970.34
"87","HOU",3804,2012,1449.6
"88","HOU",3804,2011,1830.2
"89","HOU",3804,2010,1733
"90","HOU",3804,2009,1741
"91","LOS",2412,2018,179.02
"92","LOS",2412,2017,207.16
"93","LOS",2412,2016,491.96
"94","LOS",2412,2015,961.11
"95","LOS",2412,2014,842.55
"96","LOS",2412,2013,933.15
"97","LOS",2412,2012,1378.88
"98","LOS",2412,2011,1925.36
"99","LOS",2412,2010,2412
"100","LOS",2412,2009,2412
"101","MIA",1383,2018,681.8
"102","MIA",1383,2017,146.65
"103","MIA",1383,2016,155.77
"104","MIA",1383,2015,479.46
"105","MIA",1383,2014,208.57
"106","MIA",1383,2013,203.49
"107","MIA",1383,2012,82.1000000000001
"108","MIA",1383,2011,66
"109","MIA",1383,2010,256
"110","MIA",1383,2009,188
"111","NEW",1104,2018,106.11
"112","NEW",1104,2017,160.12
"113","NEW",1104,2016,270.24
"114","NEW",1104,2015,446.32
"115","NEW",1104,2014,280.99
"116","NEW",1104,2013,284.96
"117","NEW",1104,2012,269.11
"118","NEW",1104,2011,316.5
"119","NEW",1104,2010,478
"120","NEW",1104,2009,618
"121","NOL",2290,2018,47.9200000000001
"122","NOL",2290,2017,53.3800000000001
"123","NOL",2290,2016,404.08
"124","NOL",2290,2015,934.12
"125","NOL",2290,2014,871.49
"126","NOL",2290,2013,962.96
"127","NOL",2290,2012,1014.27
"128","NOL",2290,2011,890.34
"129","NOL",2290,2010,1045
"130","NOL",2290,2009,1045
"131","NYC",604,2018,-368.2
"132","NYC",604,2017,-259.95
"133","NYC",604,2016,-33.9300000000001
"134","NYC",604,2015,43.53
"135","NYC",604,2014,-37.3099999999999
"136","NYC",604,2013,36.84
"137","NYC",604,2012,72.3299999999999
"138","NYC",604,2011,50.52
"139","NYC",604,2010,131
"140","NYC",604,2009,172
"141","PHI",875,2018,112.57
"142","PHI",875,2017,101.48
"143","PHI",875,2016,178.4
"144","PHI",875,2015,217.27
"145","PHI",875,2014,125.44
"146","PHI",875,2013,71.4
"147","PHI",875,2012,14.64
"148","PHI",875,2011,-61.87
"149","PHI",875,2010,-9
"150","PHI",875,2009,18
"151","PHO",3378,2018,789.57
"152","PHO",3378,2017,730.22
"153","PHO",3378,2016,744.64
"154","PHO",3378,2015,1207.93
"155","PHO",3378,2014,1035.5
"156","PHO",3378,2013,1110.74
"157","PHO",3378,2012,1222.58
"158","PHO",3378,2011,1277.25
"159","PHO",3378,2010,1222
"160","PHO",3378,2009,1218
"161","SEA",1606,2018,213.11
"162","SEA",1606,2017,181.19
"163","SEA",1606,2016,193.74
"164","SEA",1606,2015,472.71
"165","SEA",1606,2014,199.29
"166","SEA",1606,2013,267.24
"167","SEA",1606,2012,288.21
"168","SEA",1606,2011,433.96
"169","SEA",1606,2010,497
"170","SEA",1606,2009,640
"171","SFR",718,2018,121.57
"172","SFR",718,2017,140.65
"173","SFR",718,2016,153.69
"174","SFR",718,2015,439.83
"175","SFR",718,2014,484.94
"176","SFR",718,2013,557.7
"177","SFR",718,2012,597.96
"178","SFR",718,2011,596.47
"179","SFR",718,2010,665
"180","SFR",718,2009,718
"181","SLC",692,2018,274.65
"182","SLC",692,2017,245.19
"183","SLC",692,2016,355.39
"184","SLC",692,2015,444.3
"185","SLC",692,2014,430.63
"186","SLC",692,2013,431.21
"187","SLC",692,2012,403.11
"188","SLC",692,2011,525.88
"189","SLC",692,2010,650
"190","SLC",692,2009,652
"191","SNA",4947,2018,1075.41
"192","SNA",4947,2017,1308.11
"193","SNA",4947,2016,1133.24
"194","SNA",4947,2015,1625.34
"195","SNA",4947,2014,996.09
"196","SNA",4947,2013,1053.51
"197","SNA",4947,2012,889.21
"198","SNA",4947,2011,2054.05
"199","SNA",4947,2010,2440
"200","SNA",4947,2009,2180
"201","SND",1600,2018,-42.3199999999999
"202","SND",1600,2017,-89.51
"203","SND",1600,2016,84.0799999999999
"204","SND",1600,2015,299.23
"205","SND",1600,2014,931.69
"206","SND",1600,2013,947.07
"207","SND",1600,2012,934.85
"208","SND",1600,2011,928.95
"209","SND",1600,2010,933
"210","SND",1600,2009,935
"211","SPM",280,2018,-88.12
"212","SPM",280,2017,-17.48
"213","SPM",280,2016,85.57
"214","SPM",280,2015,131.77
"215","SPM",280,2014,87.95
"216","SPM",280,2013,73.87
"217","SPM",280,2012,13.77
"218","SPM",280,2011,-14.33
"219","SPM",280,2010,-6
"220","SPM",280,2009,-16
"221","WAS",851,2018,132.23
"222","WAS",851,2017,138.31
"223","WAS",851,2016,271.79
"224","WAS",851,2015,302.15
"225","WAS",851,2014,320.3
"226","WAS",851,2013,342.09
"227","WAS",851,2012,460.83
"228","WAS",851,2011,505.64
"229","WAS",851,2010,841
"230","WAS",851,2009,851
